,Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Elo,HomeElo,AwayElo,EloDiff,SeasonEncoded,SeasonYear,Month,Date,Target,HomePoints,AwayPoints,HomeFormPoints_5,AwayFormPoints_5
0,2000/01,2000-08-19,Charlton,Man City,4,0,H,2,0,H,17,8,14,4,6,6,13,12,1,2,0,0,1461.6360128845267,1500.0,1500.0,0.0,0,2000,8,19,0,3,0,3.0,0.0
1,2000/01,2000-08-19,Chelsea,West Ham,4,2,H,1,0,H,17,12,10,5,7,7,19,14,1,2,0,0,1674.496188912462,1500.0,1500.0,0.0,0,2000,8,19,0,3,0,3.0,0.0
2,2000/01,2000-08-19,Coventry,Middlesbrough,1,3,A,1,1,D,6,16,3,9,8,4,15,21,5,3,1,0,1427.9578414814177,1500.0,1500.0,0.0,0,2000,8,19,2,0,3,0.0,3.0
3,2000/01,2000-08-19,Derby,Southampton,2,2,D,1,2,A,6,13,4,6,5,8,11,13,1,1,0,0,1293.5528207471216,1500.0,1500.0,0.0,0,2000,8,19,1,1,1,1.0,1.0
4,2000/01,2000-08-19,Leeds,Everton,2,0,H,2,0,H,17,12,8,6,6,4,21,20,1,3,0,0,1461.8534000420207,1500.0,1500.0,0.0,0,2000,8,19,0,3,0,3.0,0.0
5,2000/01,2000-08-19,Leicester,Aston Villa,0,0,D,0,0,D,5,5,4,3,5,4,12,12,2,3,0,0,1429.3084199338207,1500.0,1500.0,0.0,0,2000,8,19,1,1,1,1.0,1.0
6,2000/01,2000-08-19,Liverpool,Bradford,1,0,H,0,0,D,16,3,10,2,6,1,8,8,1,1,0,0,1797.126917339311,1500.0,1500.0,0.0,0,2000,8,19,0,3,0,3.0,0.0
7,2000/01,2000-08-19,Sunderland,Arsenal,1,0,H,0,0,D,8,14,2,7,2,9,10,21,3,1,0,1,1418.175270276829,1500.0,1500.0,0.0,0,2000,8,19,0,3,0,3.0,0.0
8,2000/01,2000-08-19,Tottenham,Ipswich,3,1,H,2,1,H,20,15,6,5,3,4,14,13,0,0,0,0,1543.9973324584496,1500.0,1500.0,0.0,0,2000,8,19,0,3,0,3.0,0.0
9,2000/01,2000-08-20,Man United,Newcastle,2,0,H,1,0,H,19,9,9,6,7,1,7,13,0,1,0,0,1565.5087157171554,1500.0,1500.0,0.0,0,2000,8,20,0,3,0,3.0,0.0
10,2000/01,2000-08-21,Arsenal,Liverpool,2,0,H,1,0,H,17,7,12,4,10,11,25,20,2,4,1,2,1753.4191859362465,1490.0,1510.0,-20.0,0,2000,8,21,0,3,0,1.5,1.5
11,2000/01,2000-08-22,Bradford,Chelsea,2,0,H,1,0,H,12,14,3,6,6,4,14,16,0,1,0,0,1396.1792200023892,1490.0,1510.0,-20.0,0,2000,8,22,0,3,0,1.5,1.5
12,2000/01,2000-08-22,Ipswich,Man United,1,1,D,1,1,D,13,15,8,6,4,6,10,7,1,4,0,0,1432.0860150899227,1490.0,1510.0,-20.0,0,2000,8,22,1,1,1,0.5,2.0
13,2000/01,2000-08-22,Middlesbrough,Tottenham,1,1,D,0,1,A,12,11,6,4,5,5,9,18,2,1,0,0,1416.993038074839,1510.0,1510.0,0.0,0,2000,8,22,1,1,1,2.0,2.0
14,2000/01,2000-08-23,Man City,Sunderland,4,2,H,2,0,H,15,9,10,4,7,3,24,14,3,3,0,0,1774.3721945886246,1490.0,1510.0,-20.0,0,2000,8,23,0,3,0,1.5,1.5
15,2000/01,2000-08-23,Southampton,Coventry,1,2,A,0,1,A,12,7,4,5,6,5,18,20,5,3,0,0,1347.58955199158,1500.0,1490.0,10.0,0,2000,8,23,2,0,3,0.5,1.5
16,2000/01,2000-08-23,Everton,Charlton,3,0,H,0,0,D,13,8,8,4,3,5,17,15,2,1,0,1,1561.5453151817005,1490.0,1510.0,-20.0,0,2000,8,23,0,3,0,1.5,1.5
17,2000/01,2000-08-23,West Ham,Leicester,0,1,A,0,0,D,17,4,12,2,11,5,16,14,3,3,1,0,1527.6212648481076,1490.0,1500.0,-10.0,0,2000,8,23,2,0,3,0.0,2.0
18,2000/01,2000-08-23,Newcastle,Derby,3,2,H,1,1,D,9,10,4,5,9,6,23,11,0,3,1,0,1668.9139703089827,1490.0,1500.0,-10.0,0,2000,8,23,0,3,0,1.5,0.5
19,2000/01,2000-08-26,Newcastle,Tottenham,2,0,H,1,0,H,15,10,6,2,4,2,13,10,0,0,0,0,1668.9139703089827,1500.28774368332,1510.0,-9.712256316679941,0,2000,8,26,0,3,0,2.0,1.3333333333333333
20,2000/01,2000-08-26,Southampton,Liverpool,3,3,D,0,1,A,14,9,7,4,7,1,7,6,0,0,0,0,1347.58955199158,1489.71225631668,1499.4249887221547,-9.712732405474753,0,2000,8,26,1,1,1,0.6666666666666666,1.3333333333333333
21,2000/01,2000-08-26,Arsenal,Charlton,5,3,H,1,2,A,18,7,9,4,8,3,12,15,0,1,0,0,1753.4191859362465,1500.5750112778453,1499.4249887221547,1.1500225556906116,0,2000,8,26,0,3,0,2.0,1.0
22,2000/01,2000-08-26,Bradford,Leicester,0,0,D,0,0,D,8,13,4,8,6,8,11,12,1,2,0,0,1396.1792200023892,1500.5750112778453,1509.71225631668,-9.137245038834635,0,2000,8,26,1,1,1,1.3333333333333333,1.6666666666666667
23,2000/01,2000-08-26,Everton,Derby,2,2,D,2,0,H,12,7,9,4,11,2,11,9,2,3,0,0,1561.5453151817005,1500.5750112778453,1489.71225631668,10.862754961165365,0,2000,8,26,1,1,1,1.3333333333333333,0.6666666666666666
24,2000/01,2000-08-26,Ipswich,Sunderland,1,0,H,0,0,D,14,9,5,3,7,6,10,12,1,1,0,0,1432.0860150899227,1490.5750112778453,1499.4249887221547,-8.849977444309388,0,2000,8,26,0,3,0,1.3333333333333333,1.0
25,2000/01,2000-08-26,Man City,Coventry,1,2,A,0,2,A,14,9,5,8,5,5,7,12,2,3,0,0,1774.3721945886246,1500.5750112778453,1500.28774368332,0.28726759452524675,0,2000,8,26,2,0,3,1.0,2.0
26,2000/01,2000-08-26,Middlesbrough,Leeds,1,2,A,0,2,A,15,16,8,11,4,8,12,20,2,0,0,0,1416.993038074839,1510.0,1510.0,0.0,0,2000,8,26,2,0,3,1.3333333333333333,3.0
27,2000/01,2000-08-26,West Ham,Man United,2,2,D,0,1,A,17,8,8,5,7,5,12,9,1,0,0,0,1527.6212648481076,1480.28774368332,1509.4249887221547,-29.137245038834635,0,2000,8,26,1,1,1,0.3333333333333333,1.6666666666666667
28,2000/01,2000-08-27,Aston Villa,Chelsea,1,1,D,1,1,D,12,11,9,7,7,10,13,12,0,1,0,0,1673.0064119351991,1500.0,1499.4249887221547,0.5750112778453058,0,2000,8,27,1,1,1,1.0,1.3333333333333333
